publisher,num_male,num_female,top_genres
Horn OK Please,1,0,"Travel, India, Travelogue"
"Hot-Lanta Publishing, LLC",0,1,"Romance, New Adult, Contemporary"
Houghton Mifflin (Jp),1,0,"Fantasy, Picture Books, Childrens"
Houghton Mifflin Books for Children,1,0,"Fantasy, Young Adult, Historical Fiction"
Houghton Mifflin Co,0,1,"Historical Fiction, Poland, Historical"
Houghton Mifflin Co.,1,0,"Childrens, Picture Books, Classics"
Houghton Mifflin Co. (Boston/NY),1,0,"Nonfiction, Religion, Science"
Holmgren Design Services,1,0,"Gardening, Nonfiction, Environment"
"Holt, Rinehart and Winston",1,0,"Historical Fiction, Historical, Westerns"
Homestead Pub,1,0,"Nonfiction, Animals, History"
Honestly Books,1,0,
Hoopoe Fiction,1,0,
Hop Hop Productions,1,0,"Romance, Contemporary Romance, Contemporary"
Hope & Nonthings,1,0,"Music, Novels"
Hope House Books,0,1,
Gary Cooper,1,0,
Garzanti Libri,1,0,"Classics, Italian Literature, Italy"
Gauntlet Press,1,0,"Horror, Young Adult, Mystery"
Gazzapper Press,1,0,
Hohm Press,1,0,"Philosophy, Spirituality, Nonfiction"
"Hokuseido Press, the",1,0,"Japan, Poetry, Japanese Literature"
Holly Willow,0,1,
Holman Bible Publishers,1,0,"Reference, Religion, Christian"
Galeria Książki,0,1,"Fantasy, Science Fiction Fantasy, Polish Literature"
Galgalim Press,1,0,
Galiani,0,1,"Thriller, Crime, Mystery"
Galiani Verlag,1,0,German Literature
Galilee Trade,1,0,"Christian, Nonfiction, Religion"
Galldubh Press,1,0,Historical Fiction
Gallery,0,1,"Science Fiction, Video Games, Games"
Hrvatski katolički zbor MI,1,0,Childrens
GP Putnam's Sons/Penguin Young Readers,0,1,"Middle Grade, Animals, Dogs"
GRAMAR,1,0,"Romanian Literature, Theatre, Plays"
GRAPHIX,1,0,"Graphic Novels, Fantasy, Comics"
Gabriel Brunsdon,1,0,Fantasy
Gadsden Publishing House,1,0,
Gagasmedia,1,0,"Romance, Young Adult, Indonesian Literature"
Gala Unggul Resources,1,0,Comics
Galaxy Press,1,0,"Science Fiction, Fantasy, Science Fiction Fantasy"
GD Publishing Ltd. & Co KG,1,0,
GJ Press LLC,1,0,"Nonfiction, Memoir, Biography Memoir"
GJ Walker-Smith,1,0,"Romance, Contemporary, New Adult"
GLH Publishing,1,0,"Christian, Theology, Faith"
GLOBAL GRAPHICS,1,0,
GM Books,1,0,Epic
GMP Publishers,1,0,"M M Romance, Gay, LGBT"
GMTA,0,1,"Fantasy, Dragons, Young Adult"
House of Winterspells,1,0,"Gothic, Paranormal, Horror"
House of the Moon Publishing,0,1,"New Adult, Romance, Contemporary Romance"
Houtekiet,1,0,"Thriller, Crime, Detective"
Hovel Audio,1,0,"Fantasy, Classics, Childrens"
"How 'Bout A Giant Productions, LLC",1,0,"Erotica, Contemporary, Adult"
Howard Publishing Co,0,1,"Classics, Historical Fiction, China"
Howell Press,1,0,"Civil War, History"
"GCS Films, Inc.",0,1,
IAM Press,0,1,
ICS Publications,0,1,"Religion, Catholic, Biography"
IDW,1,0,
IGK Publications,1,0,
"IK""Benida"" Pub. House",1,0,
IM Sims Publishing,0,1,
INFECTED BOOKS,1,0,"Horror, Zombies, Science Fiction"
ISSUU,1,0,
Hörbuch Hamburg,1,0,"Humor, Audiobook, German Literature"
I Am Publishing,1,0,Thriller
I Publish Press,1,0,"Historical Fiction, Adventure"
I S H K,1,0,
I. B. Tauris,1,0,
I. M. Nobody,1,0,"Nonfiction, Art"
I. M. Sims Publishing,1,0,
I.M.P. Fiction,1,0,"Fantasy, Contemporary"
Hunton Agius Publishing,0,1,"Dark, BDSM, Romance"
Hutchinson Children's Books Ltd,1,0,"Fantasy, Childrens, Animals"
Hutchinson Radius,1,0,"History, Nonfiction, Politics"
Hyperink - Brad Feld (Author of Venture Deals and Do More Faster),1,0,"Business, Entrepreneurship"
Hyperion Books for Children/Disney Book Group,1,0,"Fantasy, Young Adult, Science Fiction"
Hyperion Paperbacks,0,1,"Fantasy, Young Adult, Magic"
Hyperion/Miramax,1,0,"Fantasy, Young Adult, Magic"
Hyspamérica,1,0,
Hrymfaxe,1,0,"Historical Fiction, Westerns, Historical"
Hudson Street Press,1,0,"Sports, Soccer, Nonfiction"
"Huff Publishing Associates, LLC",1,0,"Nonfiction, Memoir, War"
Human & Rousseau (Pty) Ltd,1,0,"South Africa, Africa"
Human Kinetics Publishers,1,0,"Fitness, Health, Nonfiction"
Humanist forlag,1,0,"Nonfiction, Biography, Religion"
Humdrumming,1,0,"Horror, Fantasy"
Hunt Press,1,0,
G Street Chronicles,1,0,
G. Norman Lippert,1,0,"Fantasy, Young Adult, Magic"
G.A. Van Oorschot Amsterdam,1,0,"Dutch Literature, Poetry, Literature"
"G.A. Van Oorschot, Amsterdam",1,0,Poetry
G.A.P.P Ministries,0,1,Marriage
G.P. Putnam's Sons BYR,0,1,"Young Adult, Dystopia, Fantasy"
G.P. Putnam's Sons/Penguin,0,1,"Young Adult, Realistic Fiction, Africa"
G.P. Putnam's Sons/Putnam Juvenile/Penguin Young Readers Group,1,0,"Young Adult, Fantasy, Historical"
Fundamento,1,0,"Fantasy, Young Adult, Childrens"
Fundația Marin Sorescu,1,0,"Romanian Literature, Plays, Classics"
Funk & Wagnalls Company,0,1,"Sewing, Fashion, Nonfiction"
Funky Chicken,1,0,Nonfiction
Funny and Hilarious Joke Books - Joke King's Laugh Lab,1,0,"Jokes, Humor, Childrens"
Future Corp.,1,0,"Science Fiction, Horror, Post Apocalyptic"
Futuropolis,1,0,"Comics, Bande Dessinée, Graphic Novels"
G E HAMER,0,1,"Mystery, Thriller, Mystery Thriller"
Idea Kreatif Publications,1,0,
Idea Machine Output,1,0,
Ideal Foreign Books,1,0,"Classics, France, Short Stories"
Idolls Corp,0,1,Middle Grade
Ig Publishing,1,0,Novels
FunctionalFit Publishing,1,0,
Fundacion Carlos de Amberes,1,0,
Fundacja Zeszytów Literackich,1,0,"Essays, Art, Nonfiction"
ITI en Espanol,1,0,"Science, Nonfiction, Psychology"
IUniverse,1,0,
IVI (Piper),0,1,"Fantasy, High Fantasy, German Literature"
I_AM Self-Publishing,0,1,
Ian Foster Eggleston,1,0,
Ibis,1,0,"Polish Literature, Classics, School"
"Idea & Design Works, LLC",1,0,"Comics, Humor, Graphic Novels"
Idea Kreatif,0,1,
Inanna Publications & Education,0,1,"Historical Fiction, China"
Incandescent Phoenix Books,0,1,Fantasy
Indefatigable Inc.,0,1,"Religion, Nonfiction, Atheism"
Independantly Published,1,0,"Drama, Thriller, Novels"
Independent Thinking Press,1,0,"Teaching, Education"
Independiente,0,1,
India Penguin,0,1,"Short Stories, Nonfiction, India"
India Penguin Metro Reads,1,0,"Romance, Contemporary, Romantic"
Imajinn Books,1,0,"Vampires, Paranormal, Paranormal Romance"
Imam University,1,0,"Islam, Religion, Nonfiction"
Imania,1,0,
Imprimatur Britannia and Story Merchant Books,1,0,"Mystery, Historical Fiction, Thriller"
Imzadi Publishing,1,0,"Contemporary, Book Club, Drama"
In This Together Media,0,1,"Young Adult, Contemporary, Romance"
InHouse Publishing,1,0,"Nonfiction, True Story, Memoir"
Inanna Publications,0,1,"China, Historical Fiction"
Illumination Publishing,1,0,Politics
Illustrated Modern Library,0,1,"Philosophy, Classics, Religion"
"Ilm-o-Irfan Publishers, Lahore",1,0,"Fantasy, Pakistan"
Ilmamaa,1,0,"Philosophy, Nonfiction, Psychology"
Ilyan Kei lavanway,1,0,
"Image Comics, Inc",1,0,"Comics, Graphic Novels, Science Fiction"
Imagineering Unlimited,1,0,
Imajin Books,0,1,Fantasy
GABAL,1,0,
GB Davies Publishing,1,0,
GB Hope,1,0,Erotica
Iguana Books,1,0,"21st Century, Short Stories, Contemporary"
Ikar,1,0,
Il foglio,0,1,
Ilex,0,1,"Nonfiction, Biography, Art"
Illuminated Way Publishing,1,0,
Full Cast Audio(NY),1,0,"Fantasy, Young Adult, Magic"
Full Circle Books,1,0,"Buddhism, Spirituality, Religion"
Full Moon Over Bunganut,1,0,
"Full Moon over Bunganut, A PDMI Publishing Imprint",1,0,
Fun Places,0,1,"Parenting, Travel"
Functional Fit Publishing,1,0,
Indiva (Afra Publishing),0,1,"Novels, Indonesian Literature, Historical Fiction"
Indo-European Publishing,1,0,"Classics, Historical Fiction"
Friesen Press,0,1,
Frigate Books,0,1,"Young Adult, Coming Of Age, Historical"
Frog,1,0,"Nonfiction, Spirituality, Occult"
Frogworks Publishing,1,0,"Adventure, War, Drama"
Fromm Intl,1,0,"Psychology, Philosophy, Nonfiction"
Frontier X Studio,1,0,
Frontline,1,0,"Christian, Christian Fiction, Religion"
Fugue State Press,1,0,
Freed Publishing : The Horse Dealer’s Bargain for A Bride,1,0,
Freedpublishing: Bedtime stories for beginning readers Age 3-10 yrs kids_Superhero,1,0,
Freestyle Press,0,1,
Fremad,0,1,"Historical Fiction, France, Romance"
Frescati Publications,1,0,"Novels, Inspirational, Contemporary"
Freya's Bower,0,1,"Westerns, Western Romance, Western Historical Romance"
Friedmann,1,0,Crime
Friends of Israel Gospel Ministry,1,0,"Biography, Nonfiction, Christian"
Indian Writing,1,0,
Indie,1,0,"Horror, Science Fiction, Thriller"
Indie Published,1,0,"Historical Fiction, Fantasy, Art"
Indie Publishing,0,1,"Humor, Cooking"
Indie World Publishing & Author Services,0,1,"Mystery, Thriller, Suspense"
Indigo Book,1,0,
Indigo Chick Press,0,1,"Horror, Adult"
Indigo House Publishing,0,1,"Paranormal, Fantasy, Romance"
Fragment,1,0,"Fantasy, Young Adult, Childrens"
Fraktura,1,0,"Psychology, Roman, Philosophy"
France Loisirs,0,1,Fantasy
France loisirs,1,0,"Africa, Nonfiction, History"
Frances Lincoln Publishers,0,1,"Animals, Nonfiction, Knitting"
Franciscan Herald Press,1,0,Poetry
"Frankfurter Verlagsanstalt, Frankfurt/Main",0,1,
Frashen,1,0,"Self Help, Philosophy"
Four Isles Press,0,1,"Romance, Contemporary, Contemporary Romance"
Four Walls Eight Windows (NY),1,0,"LGBT, Pulp, Gay Fiction"
Four Winds Press,1,0,"Picture Books, Fantasy, Childrens"
Fourth Dimension Pub Co,1,0,"Comics, Graphic Novels, Webcomic"
Fourth Estate Paperbacks,1,0,"Contemporary, Novels, Literary Fiction"
"Fourth Estate, Limited",1,0,"Fantasy, Music"
Fox & Wilkes,1,0,"Economics, Philosophy, Politics"
Foxy Publishing,1,0,"Reverse Harem, Romance, New Adult"
Ink Bee Publishing LLC,0,1,
InkSpell Publishing,0,1,"Angels, Young Adult, Fantasy"
Inkshares,1,0,"Horror, Paranormal, Adult"
Inkspell Publishing,0,1,"Fantasy, Young Adult, Urban Fantasy"
Inkwell & Often,1,0,"Mystery, Mystery Thriller, Suspense"
Innana Publications and Education,0,1,"China, Canada"
Inner City Books,1,0,"Psychology, Nonfiction, Mythology"
Inner Directions,1,0,"Philosophy, Spirituality, Nonfiction"
Indus Source Books,1,0,"Mythology, Religion, Indian Literature"
Industria Grafica Sant Vicenc Dels Hoprts.Spain,1,0,
Indy,1,0,
Indy Pub,1,0,
Infinite Ideas,0,1,"Fantasy, Young Adult, Childrens"
Infinity,1,0,"Historical Fiction, Holocaust, Young Adult"
Infinity Dreamt,1,0,"Fantasy, Science Fiction, Magic"
Infinity Publishing.com,0,1,"Historical Fiction, Fantasy, Historical"
Into the Void,1,0,Short Stories
Intrínseca,1,0,"History, Nonfiction, World War I"
Investig’Action – Couleur livres,1,0,Politics
Ion Creanga,1,0,"Romanian Literature, Childrens, Classics"
"Ira Teller, Pharm.D., Esq.",0,1,
Iron Circus Comics,1,0,"Graphic Novels, Comics, LGBT"
Irvington Publishers,1,0,"Psychology, Philosophy"
Isabel Cristina Acuña C.,0,1,
Intercollegiate Studies Institute,1,0,"Philosophy, Psychology, Nonfiction"
International Literary Properties,1,0,"Mystery, Horror, Young Adult"
International Marine Publishing,1,0,"Nonfiction, Adventure, Sports"
International Music Publications,1,0,"Fantasy, Young Adult, Magic"
International Polygonics,1,0,"Mystery, Horror, Ghosts"
International Universities Press,0,1,"Psychology, Psychoanalysis, Nonfiction"
Intertidal Press,0,1,"Romance, Historical Fiction, Regency"
Into the Darkness Publishing,0,1,
Insight Kids,1,0,"Fantasy, Young Adult, Childrens"
Insomniac Press,1,0,
Inspirational Books Publishing,0,1,"Contemporary, Novels, Book Club"
Inspire Ink Publishing,1,0,
Inspiring Publishers,0,1,"Young Adult, Magical Realism, Contemporary"
Institute for Christian Economics,1,0,"Theology, Politics, Nonfiction"
"Institute for Gay Men's Health, The",1,0,"Graphic Novels, Comics, Nonfiction"
Integrity Publishers,0,1,"Nonfiction, Biography, Christian"
Frassinelli,1,0,"Israel, Historical Fiction, Jewish"
Frederick Warne,0,1,"Childrens, Picture Books, Classics"
Fredonia Books,1,0,"Classics, Adventure, Science Fiction"
Free Presbyterian Publications,1,0,"Theology, Christian, Reference"
"Freed Publishing : The Billionaire Rancher's Bargain for A Bride, Cowboy's Bride",1,0,
Inquérito,1,0,"Classics, Poetry"
Inside The Dog Press,1,0,"Humor, Contemporary, Comedy"
Insight Editions,1,0,"Supernatural, Fantasy, Paranormal"
J. Sterling,1,0,"Romance, New Adult, Contemporary"
J.B. Lippincott Company,0,1,"Fantasy, Childrens, Witches"
J.C. Isabella Books,1,0,"Young Adult, Romance, Contemporary"
"J.C. Isabella, via kindle",1,0,"Sports, Contemporary, New Adult"
J.C. Reed,1,0,"Romance, Erotica, Contemporary Romance"
J.D. Estrada,1,0,Poetry
J.G. Johnson,1,0,
J.K. Persy,1,0,"Mystery, Mystery Thriller"
J-Novel Club,0,1,"Light Novel, Fantasy, Manga"
J. Daniels,1,0,"Romance, New Adult, Contemporary"
J. H. Cardwell,1,0,"Romance, New Adult, Contemporary Romance"
J. Lewis Bennett,1,0,
J. Lynn,0,1,"New Adult, Romance, Contemporary"
J. N. Townsend Publishing,1,0,"Animals, Classics, Childrens"
J. R. Ortiz,1,0,
J. Ross Publishing,1,0,"Finance, Business"
Italics Publishing,1,0,"Thriller, Action, Amazon"
Itchy Coo,1,0,Childrens
Itoh Press,1,0,"Horror, Occult, Mystery"
Ivan R. Dee,1,0,"Historical Fiction, Novels, Literature"
Iwanami Shoten,1,0,"Japan, Japanese Literature, Short Stories"
J A W I G I,1,0,"Fantasy, Young Adult, Fairy Tales"
J Ellington Ashton Press,0,1,
J'ai lu.,0,1,"Romance, Historical Romance, Historical"
Isham Cook,1,0,"Nonfiction, Adult, Contemporary"
"Islamic Studies Scholars

202 books — 146 voters
Best Books About Islam & Muslims

469 books — 543 voters",1,0,"Islam, Religion, History"
Islamic Texts Society,1,0,"Islam, Religion, Spirituality"
Island,1,0,"Thriller, Mystery, Legal Thriller"
Island Lake Press,1,0,"Biography, Anthropology, Nonfiction"
Island Nation Press,0,1,"Romance, Contemporary, Contemporary Romance"
Isshin Dream Publishing,0,1,Young Adult
"Italian Authors

254 books — 244 voters",1,0,"Italian Literature, Italy, Novels"
Foundation for Economic Education,1,0,"Economics, Politics, Philosophy"
Foundation for Thought and Ethics,1,0,"History, School, Nonfiction"
Four Branches Publishing,1,0,"Fantasy, Epic Fantasy"
Four Directions PR,1,0,Law
JB Salsbury,1,0,"Romance, New Adult, Contemporary Romance"
JB Salsbury LLC,1,0,"Romance, Fighters, Sports"
JC Gordon,1,0,
JC Lattès,0,1,"France, Nonfiction, Biography"
Forsaken Press (via Createspace),1,0,
Forsaken Press via Createspace,1,0,Zombies
"Fortitude Press, Inc.",0,1,"Lesbian, LGBT, Lesbian Romance"
Forum Boekerij,1,0,"Nonfiction, History, World War II"
Forum bokförlag,0,1,"Mystery, Crime, Thriller"
Fosse aux Ours,1,0,
Foster & Black,0,1,"Romance, Romantic Suspense, Military Fiction"
Foundation For Science Technology and Civilisation,1,0,"History, Islam, Nonfiction"
Forest Dhamma Books,1,0,Buddhism
Foresutoshuppan,1,0,
Forever (Hachette Book Group),0,1,"New Adult, Romance, Contemporary"
Forever Yours (Hachette),0,1,"New Adult, Romance, Novella"
Forever/Grand Central Publishing,0,1,"Romance, New Adult, Contemporary"
ForeverPoetic,1,0,"Romance, Mystery, Love Story"
Forlaget okober,1,0,"Contemporary, Scandinavian Literature, Novels"
Formless Press,1,0,Poetry
J.M. Darhower,1,0,"Romance, Dark, Contemporary"
J.M. Porup,1,0,"Humor, Politics"
J.N. Townsend Publishing,1,0,"Cats, Animals"
J.R. Cagle,1,0,Parenting
Foreign Language Press,1,0,"Classics, China, Historical Fiction"
Foreign Languages Press,1,0,"Classics, Fantasy, China"
Foreign Languages Publishing House,1,0,"Classics, Novels, Literature"
Forest Books,1,0,"Plays, Romanian Literature, Drama"
James Sillwood,1,0,"Romance, LGBT, Lesbian"
James V. Jordan dba Turning Leaf Books,1,0,"Contemporary, Novels, Drama"
James Ward - JMW Studios,1,0,"Post Apocalyptic, Zombies"
Jameson Books (IL),1,0,"Economics, Politics, Nonfiction"
Jamestown Publishers,1,0,"Short Stories, Classics, Literature"
Jamie McGuire,1,0,"Romance, New Adult, Contemporary"
Jamie McGuire LLC,1,0,"Paranormal, Romance, Fantasy"
Jan Strnad,1,0,
Jaguar,0,1,"Young Adult, Science Fiction, Romance"
Jaico Publishing House,1,0,"Classics, Short Stories, Philosophy"
Jaimie Hope,0,1,
Jajoza Publishing,1,0,
Jakub Lasak,1,0,"Psychology, Business, Nonfiction"
Jalansutra,1,0,
Jalasutra,1,0,"Indonesian Literature, Cultural Studies, Nonfiction"
Jambo,1,0,
JMG,1,0,Historical Fiction
JOHN LANE THE BODLEY HEAD LTD,1,0,"Classics, France, Fantasy"
JRH Publishing,1,0,"Science Fiction, Dystopia, Cyberpunk"
JVB,1,0,
Jabal Amman Publishers,1,0,
Jacek Walkowicz,1,0,
Jacob Gowans,1,0,"Science Fiction, Young Adult, Dystopia"
Jacqui Aviet.,1,0,
JCP Books,1,0,"M M Romance, Dystopia, Menage"
JILLIAN DODD INC.,0,1,"Romance, Young Adult, Contemporary"
JIMMY Patterson,0,1,"Historical Fiction, Young Adult, Mystery"
"JK Publishing, Inc.",1,0,
JKLM Publishing,1,0,
JM Originals,0,1,"Literary Fiction, Contemporary, British Literature"
JMF,0,1,"Romance, New Adult, Contemporary"
JMF Publishing,0,1,"Romance, New Adult, Contemporary Romance"
Jess Petosa,1,0,"Dystopia, Young Adult, Romance"
Jessica Cox,0,1,
Jessica Kingsley Publishers,1,0,Mystery
Jessica Sorensen,0,1,"Vampires, Paranormal, Young Adult"
Jetstream Publishing Inc,1,0,"Business, Self Help, Nonfiction"
Jettie Woodruf,0,1,"Dark, BDSM, Romance"
Jewish Lights Publishing,1,0,"Judaism, Religion, Judaica"
Jewish Publication Society of America,1,0,
Jenn Cooksey,0,1,"Young Adult, Romance, Contemporary"
Jennichad Books,0,1,"Paranormal, Vampires, Romance"
Jennifer Archer,0,1,
Jennifer Foor,0,1,"Romance, Contemporary Romance, Military Fiction"
Jennifer L. Armentrout,0,1,"Fantasy, New Adult, Romance"
Jerden Records,1,0,
Jeremiah Press,1,0,"Young Adult, Paranormal, Werewolves"
Jeremy P. Tarcher,0,1,"Nonfiction, Self Help, Writing"
Javanica,1,0,Novels
Jay Crownover Books,1,0,"Romance, New Adult, Contemporary"
Jaylijaz Publishing,1,0,
Jeannine Colette,0,1,"Romance, Contemporary Romance, Contemporary"
Jeff Gunzel,1,0,"Fantasy, Magic, Paranormal"
Jemari Seni,1,0,"Novels, Collections, Romance"
Jemari Seni Sdn Bhd,1,0,Novels
Jenika Snow,1,0,"Dark, BDSM, Erotica"
Janene Loucks Publishing,0,1,
Janice Ross,0,1,
Janus Publishing Company Ltd,1,0,
Jaringan Islam Liberal,1,0,
Jarir Bookstore,1,0,"Nonfiction, Business, Relationships"
Jasmine Haynes,0,1,"Contemporary, Erotica, M F Romance"
Jasmine Lee,0,1,Romance
Jason Luke,1,0,"BDSM, Erotica, Romance"
ForWard Publishing,1,0,"Memoir, Autobiography, Nonfiction"
Forbes Publications,1,0,
ForbesBooks,0,1,Business
Forbidden Realm Publishing,1,0,
ForeEdge,1,0,"Nonfiction, True Crime, Music"
Joan Boluda,0,1,Business
Joan L Sample,0,1,
Joanna Cotler Books,1,0,"Young Adult, Realistic Fiction, Contemporary"
"Fondo de Cultura Economica, Mexico",1,0,"Fantasy, Middle Grade, Books About Books"
Fons Vitae,1,0,"Islam, Religion, Biography"
Fontaine Press,1,0,"Humor, Nonfiction, Comedy"
Fontamara,1,0,"Classics, Nonfiction, Biography"
Fontana / Collins,1,0,"Africa, Nonfiction, France"
Fontana Press,1,0,"Thriller, Mystery, Romance"
Food N Sport Press,1,0,"Health, Nonfiction, Vegan"
For You,0,1,"Romance, Romania, Contemporary"
Flying Solo Press,1,0,"Mystery, Adventure, Young Adult"
Focal Press,1,0,"Design, Photography, Art"
Focus Publishing (MN),0,1,"Marriage, Christian, Nonfiction"
Folio Junior,1,0,"France, Classics, French Literature"
Folio SF,1,0,"Fantasy, Steampunk, France"
Folio Society,1,0,"Travel, Nonfiction, Italy"
Follow This Publishing,1,0,Contemporary
Fondo Editorial Fundarte,1,0,
"Jiangsu Phoenix Literature and Art Publishing, LTD",1,0,"Romance, China, Contemporary"
"Jillian Dodd, Inc.",0,1,"Romance, Young Adult, Contemporary"
Jillian Peery,0,1,"Young Adult, Fantasy, Angels"
Jim Bernheimer / EJB,1,0,"Science Fiction, Superheroes, Fantasy"
Jimmy Patterson Books,0,1,"Fantasy, Young Adult, LGBT"
Jimmy Swaggart Ministries,1,0,Spirituality
Flying Feather Publishing,1,0,
Flying Horse Books,0,1,Young Adult
Jonathan David Publishers,1,0,
Jonathan Eli Herrick,1,0,
Jonathan Macpherson,1,0,Thriller
Jonathan cape/secker & Warburg,1,0,Scotland
Jongbloed,1,0,"Religion, Nonfiction, Classics"
Josef Weinberger Plays,0,1,"Plays, Drama, Theatre"
Joseph Evans,1,0,"Young Adult, Science Fiction, Fantasy"
Josephine D. Hasan-Kerr,0,1,
John Smith and Clean Eating,1,0,
Jojo Publishing,1,0,
"Jolly Fish Press, LLC",0,1,"Humor, Romance, Contemporary"
Jolop Publishing,1,0,
Jon Delorme,1,0,Historical Fiction
"Jon H. Gutmacher, P.A.",1,0,Poetry
Jonathan Cape Children's Books,1,0,"Childrens, Fantasy, Middle Grade"
Jonathan Cape Ltd,0,1,"Fantasy, Paranormal, Mystery"
John Cassian,1,0,"Dark, Horror, Thriller"
John Corwin,1,0,"Paranormal, Urban Fantasy, Young Adult"
John Goodchild Publishers,0,1,
John Joseph Adams/Houghton Mifflin Harcourt,1,0,"Horror, Fantasy, Paranormal"
John Macrae,1,0,"History, Biography, Nonfiction"
John Mayer,1,0,
John Murray Publisher,1,0,"Historical Fiction, India, Historical"
John Osteen Publications,1,0,Nonfiction
Joanna Cotler Books/HarperCollinsPublishers,0,1,"Fantasy, Young Adult, Fairy Tales"
Joaquín Mortiz,1,0,"Latin American Literature, Humor, Spanish Literature"
Jodere Group,1,0,"Nonfiction, Spirituality, Paranormal"
Jodi Ellen Malpas,0,1,"Romance, Contemporary Romance, Erotica"
Joe Chiappetta,1,0,
Joey Wargachuk,1,0,
John Bevere Ministries,1,0,Christian
"John Blandly, via Smashwords",1,0,"Romance, Science Fiction, Literary Fiction"
Flood Editions,1,0,Poetry
Floris Books,1,0,"Childrens, Historical, Thriller"
Flows Publishing,1,0,
Fluide glacial - Audie,1,0,"Comics, Bande Dessinée, Graphic Novels"
Flying Dolphin Press,0,1,"Young Adult, Romance, Contemporary"
Flying Eye Books,1,0,"Graphic Novels, Comics, Fantasy"
Jugoslavija,1,0,"Classics, Serbian Literature"
Juicy Gems Publishing,1,0,"Reverse Harem, Fantasy, Magic"
Flat Finn,0,1,"Romance, Young Adult, Contemporary"
"Flat Finn, Inc.",0,1,"New Adult, Romance, Contemporary"
Flat Rock Publishing,1,0,Westerns
Flatiron/Macmillan,0,1,"Fantasy, Historical Fiction, Young Adult"
Fleming H Revell Co,1,0,"Biography, Nonfiction, Christian"
Fleming H. Revell,1,0,"History, Christian, Biography"
Flickimp Publishing,1,0,"Young Adult, Science Fiction, Dystopia"
Flipped Eye,1,0,"Poetry, Feminism, Nonfiction"
Five Oaks Press,1,0,
Five Star Trade,0,1,"Contemporary Romance, Romance, Contemporary"
Flamage,1,0,
Flaming Chalice Press,0,1,"Historical Fiction, Historical, Audiobook"
Flaming Pen Press,1,0,"Fantasy, Christian, Young Adult"
Flammarion (Editions),1,0,"19th Century, Roman, Classics"
Flap Jacket Press,1,0,"Mystery, Magical Realism, Historical Fiction"
Flash Point,1,0,"Nonfiction, History, Science"
Josette Sona,0,1,
Jossey-Bass Inc Pub,1,0,
JournalStone,1,0,"Horror, Zombies, Supernatural"
JourneyForth,0,1,"Fantasy, Christian, Childrens"
Joy House Publishing,0,1,
Joyce Mitchell,0,1,Childrens
Jozef Rothstein,1,0,
Judaica Press,1,0,
"KDP, Nook Press, Smashwords, iBooks, Kobo, Scribd, Google Play Books",0,1,"Fantasy, Young Adult"
KENYONS GOSPEL PUB SOC npp,1,0,"Christian, Prayer"
KLS PRESS,0,1,"Romance, Contemporary Romance, Contemporary"
KPG,1,0,"Indonesian Literature, Novels, Literature"
KPG (Kepustakaan Populer Gramedia),1,0,"Novels, Indonesian Literature, Literature"
Kabel Verlag,1,0,"Spirituality, Fantasy, Self Help"
Kadimah Press,0,1,
Kadokawa Shoten,1,0,"Manga, Yaoi, Romance"
K.A. Linde,1,0,"Romance, New Adult, Contemporary"
K.A. Robinson Publishing LLC,1,0,"New Adult, Romance, Contemporary Romance"
K.J. Soze,1,0,"Contemporary, Epic, Book Club"
K.M. Rice,1,0,"Fantasy, Gothic Horror, Horror"
K.N. Lee,1,0,"Fantasy, Urban Fantasy, Paranormal"
K.S. Smith,1,0,"Romance, Contemporary Romance, New Adult"
KC Kean,1,0,"Reverse Harem, Contemporary, College"
KDP Amazon,1,0,
Justice House Publishing,0,1,"LGBT, Lesbian, Lesbian Fiction"
Juventud,1,0,"Childrens, Short Stories, Classics"
Jyoti Prakashan,0,1,
K & R Publications,1,0,Design
K G Grigg,1,0,
K Teen,0,1,"Young Adult, Paranormal, Fantasy"
K Teen (Kensington),0,1,"Young Adult, Paranormal, Fantasy"
K Webster,1,0,"Dark, BDSM, Romance"
Julianna Keyes,0,1,"New Adult, Romance, Contemporary"
Julie Hall,0,1,"Fantasy, Young Adult, Christian Fiction"
Jumava,1,0,"Russia, Science Fiction, Classics"
"Jumbo, Neue Medien",0,1,"Fantasy, Young Adult, German Literature"
Jungbrunnen,0,1,"Childrens, German Literature, Picture Books"
Jupitalia Productions,1,0,"Travel, Nonfiction, Adventure"
JusPax,1,0,Biography
Just World Books,1,0,"Nonfiction, Short Stories, Politics"
Fischer Taschenbuchverlag,1,0,
Fischer Verlag,1,0,"Classics, Romance, Short Stories"
Fischer-Taschenbuch-Verlag,1,0,"Classics, German Literature, Literature"
Fisher Amelie,1,0,"Romance, New Adult, Contemporary"
Fishermen Press,1,0,"Christian, Nonfiction, Christianity"
"Fitch Madison Publishers, LLC",1,0,"Philosophy, Nonfiction, Politics"
"Fitness Renaissance, LLC",1,0,"Fitness, Health, Nonfiction"
Five Fathoms Press,0,1,"Fantasy, Young Adult, Romance"
Fireship Press,1,0,"Historical Fiction, Classics, Adventure"
Fireweed Publishing Ltd,0,1,"Fantasy, Paranormal, Witches"
First Avenue Editions,1,0,"Fantasy, Young Adult, Science Fiction"
"Fischer (Tb.), Frankfurt",1,0,"Young Adult, LGBT, German Literature"
Fischer Kinder- und Jugendtaschenbuch,0,1,"Young Adult, German Literature, Contemporary"
Fischer Sauerländer,1,0,"Fantasy, Middle Grade, Childrens"
