title,author,nationality,rating,genres,language,gender,description
Five Feet Apart,Rachael Lippincott,United States,4.19,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Young Adult Contemporary', 'Young Adult Romance', 'Teen', 'Illness']",English,w,"In this moving story two teens fall in love with just one minor complication—they can’t get within five feet of each other without risking their lives.Can you love someone you can never touch?Stella Grant likes to be in control—even though her totally out of control lungs have sent her in and out of the hospital most of her life. At this point, what Stella needs to control most is keeping herself away from anyone or anything that might pass along an infection and jeopardize the possibility of a lung transplant. Six feet apart. No exceptions.The only thing Will Newman wants to be in control of is getting out of this hospital. He couldn’t care less about his treatments, or a fancy new clinical drug trial. Soon, he’ll turn eighteen and then he’ll be able to unplug all these machines and actually go see the world, not just its hospitals.Will’s exactly what Stella needs to stay away from. If he so much as breathes on Stella she could lose her spot on the transplant list. Either one of them could die. The only way to stay alive is to stay apart. But suddenly six feet doesn’t feel like safety. It feels like punishment.What if they could steal back just a little bit of the space their broken lungs have stolen from them? Would five feet apart really be so dangerous if it stops their hearts from breaking too?"
My Brilliant Friend,Elena Ferrante,Italy,3.96,"['Fiction', 'Historical Fiction', 'Italy', 'Italian Literature', 'Novels', 'Audiobook', 'Literary Fiction', 'Contemporary', 'Historical', 'Book Club']",English,w,"A modern masterpiece from one of Italy's most acclaimed authors, My Brilliant Friend is a rich, intense and generous hearted story about two friends, Elena and Lila. Ferrante's inimitable style lends itself perfectly to a meticulous portrait of these two women that is also the story of a nation and a touching meditation on the nature of friendship. Through the lives of these two women, Ferrante tells the story of a neighbourhood, a city and a country as it is transformed in ways that, in turn, also transform the relationship between her two protagonists."
Immortality,Milan Kundera,Czech Republic,4.14,"['Fiction', 'Philosophy', 'Czech Literature', 'Literature', 'Novels', 'Classics', 'Contemporary', '20th Century', 'France', 'Literary Fiction']",English,m,"This breathtaking, reverberating survey of human nature finds Kundera still attempting to work out the meaning of life, without losing his acute sense of humour. It is one of those great unclassifiable masterpieces that appear once every twenty years or so.

'It will make you cleverer, maybe even a better lover. Not many novels can do that.' Nicholas Lezard, GQ"
Attachments,Rainbow Rowell,United States,3.9,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Young Adult', 'Adult Fiction', 'Contemporary Romance', 'Realistic Fiction', 'Humor']",English,w,"""Hi, I'm the guy who reads your e-mail, and also, I love you...""Beth Fremont and Jennifer Scribner-Snyder know that somebody is monitoring their work e-mail. (Everybody in the newsroom knows. It's company policy.) But they can't quite bring themselves to take it seriously. They go on sending each other endless and endlessly hilarious e-mails, discussing every aspect of their personal lives.Meanwhile, Lincoln O'Neill can't believe this is his job now—reading other people's e-mail. When he applied to be ""internet security officer,"" he pictured himself building firewalls and crushing hackers—not writing up a report every time a sports reporter forwards a dirty joke.When Lincoln comes across Beth's and Jennifer's messages, he knows he should turn them in. But he can't help being entertained—and captivated—by their stories.By the time Lincoln realizes he's falling for Beth, it's way too late to introduce himself.What would he say . . . ?"
The Husband's Secret,Liane Moriarty,Australia,3.94,"['Fiction', 'Mystery', 'Chick Lit', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Book Club', 'Thriller', 'Australia']",English,w,"At the heart of The Husband’s Secret is a letter that’s not meant to be readMy darling Cecilia, if you’re reading this, then I’ve died...Imagine that your husband wrote you a letter, to be opened after his death. Imagine, too, that the letter contains his deepest, darkest secret—something with the potential to destroy not just the life you built together, but the lives of others as well. Imagine, then, that you stumble across that letter while your husband is still very much alive. . . .Cecilia Fitzpatrick has achieved it all—she’s an incredibly successful businesswoman, a pillar of her small community, and a devoted wife and mother. Her life is as orderly and spotless as her home. But that letter is about to change everything, and not just for her: Rachel and Tess barely know Cecilia—or each other—but they too are about to feel the earth-shattering repercussions of her husband’s secret.Acclaimed author Liane Moriarty has written a gripping, thought-provoking novel about how well it is really possible to know our spouses—and, ultimately, ourselves."
The Longest Ride,Nicholas Sparks,United States,4.15,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Realistic Fiction']",English,m,"Ira Levinson is in trouble. At ninety-one years old, in poor health and alone in the world, he finds himself stranded on an isolated embankment after a car crash. Suffering multiple injuries, he struggles to retain consciousness until a blurry image materializes and comes into focus beside him: his beloved wife Ruth, who passed away nine years ago. Urging him to hang on, she forces him to remain alert by recounting the stories of their lifetime together – how they met, the precious paintings they collected together, the dark days of WWII and its effect on them and their families. Ira knows that Ruth can’t possibly be in the car with him, but he clings to her words and his memories, reliving the sorrows and everyday joys that defined their marriage.A few miles away, at a local rodeo, a Wake Forest College senior’s life is about to change. Recovering from a recent break-up, Sophia Danko meets a young cowboy named Luke, who bears little resemblance to the privileged frat boys she has encountered at school. Through Luke, Sophia is introduced to a world in which the stakes of survival and success, ruin and reward -- even life and death – loom large in everyday life. As she and Luke fall in love, Sophia finds herself imagining a future far removed from her plans -- a future that Luke has the power to rewrite . . . if the secret he’s keeping doesn’t destroy it first.Ira and Ruth. Sophia and Luke. Two couples who have little in common, and who are separated by years and experience. Yet their lives will converge with unexpected poignancy, reminding us all that even the most difficult decisions can yield extraordinary journeys: beyond despair, beyond death, to the farthest reaches of the human heart."
Life After Life,Kate Atkinson,United Kingdom,3.76,"['Fiction', 'Historical Fiction', 'Fantasy', 'Historical', 'Time Travel', 'Audiobook', 'Literary Fiction', 'Adult', 'World War II', 'Adult Fiction']",English,w,"What if you could live again and again, until you got it right? On a cold and snowy night in 1910, Ursula Todd is born to an English banker and his wife. She dies before she can draw her first breath. On that same cold and snowy night, Ursula Todd is born, lets out a lusty wail, and embarks upon a life that will be, to say the least, unusual. For as she grows, she also dies, repeatedly, in a variety of ways, while the young century marches on towards its second cataclysmic world war. Does Ursula's apparently infinite number of lives give her the power to save the world from its inevitable destiny? And if she can - will she?"
The Secret Keeper,Kate Morton,Australia,4.13,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Romance', 'Book Club', 'Adult', 'Adult Fiction', 'Audiobook', 'British Literature']",English,w,"During a summer party at the family farm in the English countryside, sixteen-year-old Laurel Nicolson has escaped to her childhood tree house and is happily dreaming of the future. She spies a stranger coming up the long road to the farm and watches as her mother speaks to him. Before the afternoon is over, Laurel will witness a shocking crime. A crime that challenges everything she knows about her family and especially her mother, Dorothy—her vivacious, loving, nearly perfect mother.Now, fifty years later, Laurel is a successful and well-regarded actress living in London. The family is gathering at Greenacres farm for Dorothy’s ninetieth birthday. Realizing that this may be her last chance, Laurel searches for answers to the questions that still haunt her from that long-ago day, answers that can only be found in Dorothy’s past.Dorothy’s story takes the reader from pre–WWII England through the blitz, to the ’60s and beyond. It is the secret history of three strangers from vastly different worlds—Dorothy, Vivien, and Jimmy—who meet by chance in wartime London and whose lives are forever entwined. The Secret Keeper explores longings and dreams and the unexpected consequences they sometimes bring. It is an unforgettable story of lovers and friends, deception and passion that is told—in Morton’s signature style—against a backdrop of events that changed the world."
The Immortals of Meluha,Amish Tripathi,India,4.09,"['Fiction', 'Fantasy', 'Mythology', 'Indian Literature', 'India', 'Historical Fiction', 'Amish', 'Novels', 'Adventure', 'Historical']",English,m,"1900 BC. In what modern Indians mistakenly call the Indus Valley Civilisation. The inhabitants of that period called it the land of Meluha a near perfect empire created many centuries earlier by Lord Ram, one of the greatest monarchs that ever lived. This once proud empire and its Suryavanshi rulers face severe perils as its primary river, the revered Saraswati, is slowly drying to extinction. They also face devastating terrorist attacks from the east, the land of the Chandravanshis. To make matters worse, the Chandravanshis appear to have allied with the Nagas, an ostracised and sinister race of deformed humans with astonishing martial skills!The only hope for the Suryavanshis is an ancient legend: When evil reaches epic proportions, when all seems lost, when it appears that your enemies have triumphed, a hero will emerge.Is the rough-hewn Tibetan immigrant Shiva, really that hero? And does he want to be that hero at all? Drawn suddenly to his destiny, by duty as well as by love, will Shiva lead the Suryavanshi vengeance and destroy evil?"
Siege and Storm,Leigh Bardugo,"Israel, United States",3.98,"['Fantasy', 'Young Adult', 'Romance', 'Magic', 'Young Adult Fantasy', 'Fiction', 'High Fantasy', 'Adventure', 'Audiobook', 'Paranormal']",English,w,"▶ 
  Alternative Cover Edition #1
Darkness never dies.Hunted across the True Sea, haunted by the lives she took on the Fold, Alina must try to make a life with Mal in an unfamiliar land, all while keeping her identity as the Sun Summoner a secret. But she can’t outrun her past or her destiny for long.The Darkling has emerged from the Shadow Fold with a terrifying new power and a dangerous plan that will test the very boundaries of the natural world. With the help of a notorious privateer, Alina returns to the country she abandoned, determined to fight the forces gathering against Ravka. But as her power grows, Alina slips deeper into the Darkling’s game of forbidden magic, and farther away from Mal. Somehow, she will have to choose between her country, her power, and the love she always thought would guide her—or risk losing everything to the oncoming storm."
Nutshell,Ian McEwan,United Kingdom,3.67,"['Fiction', 'Contemporary', 'Mystery', 'Literary Fiction', 'Novels', 'Audiobook', 'Thriller', 'British Literature', 'Crime', 'Adult Fiction']",English,m,"Nutshell is a classic story of murder and deceit, told by a narrator with a perspective and voice unlike any in recent literature. A bravura performance, it is the finest recent work from a true master.To be bound in a nutshell, see the world in two inches of ivory, in a grain of sand. Why not, when all of literature, all of art, of human endeavour, is just a speck in the universe of possible things."
Dorothy Must Die,Danielle Paige,United States,3.81,"['Fantasy', 'Young Adult', 'Retellings', 'Fiction', 'Magic', 'Fairy Tales', 'Adventure', 'Young Adult Fantasy', 'Audiobook', 'Teen']",English,w,"I didn't ask for any of this. I didn't ask to be some kind of hero.But when your whole life gets swept up by a tornado—taking you with it—you have no choice but to go along, you know?Sure, I've read the books. I've seen the movies. I know the song about the rainbow and the happy little bluebirds. But I never expected Oz to look like this. To be a place where Good Witches can't be trusted, Wicked Witches may just be the good guys, and winged monkeys can be executed for acts of rebellion. There's still a yellow brick road—but even that's crumbling.What happened? Dorothy.They say she found a way to come back to Oz. They say she seized power and the power went to her head. And now no one is safe.My name is Amy Gumm—and I'm the other girl from Kansas.I've been recruited by the Revolutionary Order of the Wicked.I've been trained to fight.And I have a mission."
The Crossing,Cormac McCarthy,United States,4.13,"['Fiction', 'Westerns', 'Literature', 'Novels', 'Historical Fiction', 'American', 'Literary Fiction', 'Contemporary', 'Classics', 'Adventure']",English,m,"Following All the Pretty Horses in Cormac McCarthy's Border Trilogy is a novel whose force of language is matched only by its breadth of experience and depth of thought. In the bootheel of New Mexico hard on the frontier, Billy and Boyd Parham are just boys in the years before the Second World War, but on the cusp of unimaginable events. First comes a trespassing Indian and the dream of wolves running wild amongst the cattle lately brought onto the plain by settlers - this when all the wisdom of trappers has disappeared along with the trappers themselves. So Billy sets forth at the age of sixteen on an unwitting journey into the souls of boys, animals and men.Having trapped a she-wolf he would restore to the mountains of Mexico, he is long gone and returns to find everything he left behind transformed utterly in his absence. Except his kid brother, Boyd, with whom he strikes out yet again to reclaim what is theirs - thus crossing into ""that antique gaze from whence there could be no way back forever.""What they find instead, is an extraordinary panoply of fiestas and circuses, dogs, horses and hawks, pilgrims and revolutionaries, grand haciendas and forlorn cantinas, bandits, gypsies and roving tribes, a young girl alone on the road, a mystery in the mountain wilds, and a myth in the making.And in this wider world they fight a war as rageful as the one neither, in the end, will join up for back home. One brother finds his destiny, while the other arrives only at his fate.An essential novel by any measure, and the transfixing middle passage of Cormac McCarthy's ongoing trilogy, The Crossing is luminous and appalling, a book that touches, stops,and starts the heart and mind at once."
Dune Messiah,Frank Herbert,United States,3.88,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy', 'Classics', 'Space Opera', 'Audiobook', 'Novels', 'Speculative Fiction', 'Space']",English,m,"Book Two in the Magnificent Dune Chronicles--the Bestselling Science Fiction Adventure of All TimeDune Messiah continues the story of Paul Atreides, better known--and feared--as the man christened Muad'Dib. As Emperor of the Known Universe, he possesses more power than a single man was ever meant to wield. Worshipped as a religious icon by the fanatical Fremens, Paul faces the enmity of the political houses he displaced when he assumed the throne--and a conspiracy conducted within his own sphere of influence.And even as House Atreides begins to crumble around him from the machinations of his enemies, the true threat to Paul comes to his lover, Chani, and the unborn heir to his family's dynasty...Includes an introduction by Brian Herbert"
House of Spies,Daniel Silva,United States,4.3,"['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Mystery Thriller', 'Suspense', 'Spy Thriller', 'Novels', 'Audiobook', 'Adult']",English,m,"A heart-stopping tale of suspense, Daniel Silva’s runaway bestseller, The Black Widow, was one of 2016’s biggest novels. Now, in House of Spies, Gabriel Allon is back and out for revenge – determined to hunt down the world’s most dangerous terrorist, a shadowy ISIS mastermind known only as Saladin. Four months after the deadliest attack on the American homeland since 9/11, terrorists leave a trail of carnage through London’s glittering West End. The attack is a brilliant feat of planning and secrecy, but with one loose thread. The thread leads Gabriel Allon and his team of operatives to the south of France and to the gilded doorstep of Jean-Luc Martel and Olivia Watson. A beautiful former British fashion model, Olivia pretends not to know that the true source of Martel’s enormous wealth is drugs. And Martel, likewise, turns a blind eye to the fact he is doing business with a man whose objective is the very destruction of the West. Together, under Gabriel’s skilled hand, they will become an unlikely pair of heroes in the global war on terrorism.Written in seductive and elegant prose, the story moves swiftly from the glamour of Saint-Tropez to the grit of Casablanca and, finally, to an electrifying climax that will leave readers breathless long after they turn the final page."
The Woman in the Window,A.J. Finn,United States,3.94,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Crime', 'Psychological Thriller', 'Adult', 'Adult Fiction']",English,m,"Anna Fox lives alone, a recluse in her New York City home, unable to venture outside. She spends her day drinking wine (maybe too much), watching old movies, recalling happier times . . . and spying on her neighbors.Then the Russells move into the house across the way: a father, a mother and their teenage son. The perfect family. But when Anna, gazing out her window one night, sees something she shouldn’t, her world begins to crumble and its shocking secrets are laid bare.What is real? What is imagined? Who is in danger? Who is in control? In this diabolically gripping thriller, no one—and nothing—is what it seems."
They Both Die at the End,Adam Silvera,United States,4.12,"['Young Adult', 'Contemporary', 'LGBT', 'Fiction', 'Romance', 'Audiobook', 'Queer', 'Science Fiction', 'Fantasy', 'Young Adult Contemporary']",English,m,"Adam Silvera reminds us that there’s no life without death and no love without loss in this devastating yet uplifting story about two people whose lives change over the course of one unforgettable day.On September 5, a little after midnight, Death-Cast calls Mateo Torrez and Rufus Emeterio to give them some bad news: They’re going to die today.Mateo and Rufus are total strangers, but, for different reasons, they’re both looking to make a new friend on their End Day. The good news: There’s an app for that. It’s called the Last Friend, and through it, Rufus and Mateo are about to meet up for one last great adventure—to live a lifetime in a single day."
Cloudstreet,Tim Winton,Australia,4.0,"['Fiction', 'Australia', 'Historical Fiction', 'Classics', 'Literature', 'Literary Fiction', 'Contemporary', 'Novels', 'Family', 'Historical']",English,m,"Hailed as a classic, Tim Winton's masterful family saga is both a paean to working-class Australians and an unflinching examination of the human heart's capacity for sorrow, joy, and endless gradations in between. An award-winning work, Cloudstreet exemplifies the brilliant ability of fiction to captivate and inspire.  Struggling to rebuild their lives after being touched by disaster, the Pickle family, who've inherited a big house called Cloudstreet in a suburb of Perth, take in the God-fearing Lambs as tenants. The Lambs have suffered their own catastrophes, and determined to survive, they open up a grocery on the ground floor. From 1944 to 1964, the shared experiences of the two overpopulated clans -- running the gamut from drunkenness, adultery, and death to resurrection, marriage, and birth -- bond them to each other and to the bustling, haunted house in ways no one could have anticipated."
Library of Souls,Ransom Riggs,United States,4.13,"['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Historical Fiction', 'Adventure', 'Audiobook', 'Horror', 'Time Travel', 'Supernatural']",English,m,"A boy with extraordinary powers. An army of deadly monsters. An epic battle for the future of peculiardom.The adventure that began with Miss Peregrine’s Home for Peculiar Children and continued in Hollow City comes to a thrilling conclusion with Library of Souls. As the story opens, sixteen-year-old Jacob discovers a powerful new ability, and soon he’s diving through history to rescue his peculiar companions from a heavily guarded fortress. Accompanying Jacob on his journey are Emma Bloom, a girl with fire at her fingertips, and Addison MacHenry, a dog with a nose for sniffing out lost children.They’ll travel from modern-day London to the labyrinthine alleys of Devil’s Acre, the most wretched slum in all of Victorian England. It’s a place where the fate of peculiar children everywhere will be decided once and for all. Like its predecessors, Library of Souls blends thrilling fantasy with never-before-published vintage photography to create a one-of-a-kind reading experience."
Perfect,Tricia Copeland,United Kingdom,4.42,"['Contemporary', 'Fiction', 'Epic', 'Novels', 'Drama']",English,w,"One driven woman. Five passionate paths to the perfect love.Chloe refuses to compromise when it comes to romance and success. Powering through her sophomore-level college business classes, she’s done with the effort of distance-dating her high-school sweetheart. But when he proposes just as she hits it off with a hunky basketball player, she worries following her heart could send her bright future to the bench.As Chloe matures becoming a rising star in the fashion industry, love knocks another four times. But while each potential suitor eventually pops the question, only she knows her ultimate happy ending.Whose arms will embrace Chloe when she chooses her forever man?Perfect is a standalone clean contemporary romance. If you like tender moments, lighthearted comedy, and endings you choose yourself, then you’ll adore Tricia Copeland’s option-filled tale.Buy Perfect to pick your ideal walk down the aisle today!"
Snow,Orhan Pamuk,Ireland,3.59,"['Fiction', 'Literature', 'Contemporary', 'Turkish', 'Novels', 'Turkish Literature', 'Nobel Prize', 'Historical Fiction', 'Literary Fiction', 'Unfinished']",English,m,"One of multiple covers for ISBN 9780375706868.A spellbinding tale of disparate yearnings – for love, art, power, and God – set in a remote Turkish town, where stirrings of political Islamism threaten to unravel the secular order; by the winner of the 2006 Nobel Prize for Literature.From the acclaimed author of My Name Is Red comes a spellbinding tale of disparate yearnings–for love, art, power, and God–set in a remote Turkish town, where stirrings of political Islamism threaten to unravel the secular order. Following years of lonely political exile in Western Europe, Ka, a middle-aged poet, returns to Istanbul to attend his mother's funeral. Only partly recognizing this place of his cultured, middle-class youth, he is even more disoriented by news of strange events in the wider country: a wave of suicides among girls forbidden to wear their head scarves at school. An apparent thaw of his writer's curiosity–a frozen sea these many years–leads him to Kars, a far-off town near the Russian border and the epicenter of the suicides. No sooner has he arrived, however, than we discover that Ka's motivations are not purely journalistic; for in Kars, once a province of Ottoman and then Russian glory, now a cultural gray-zone of poverty and paralysis, there is also Ipek, a radiant friend of Ka's youth, lately divorced, whom he has never forgotten. As a snowstorm, the fiercest in memory, descends on the town and seals it off from the modern, westernized world that has always been Ka's frame of reference, he finds himself drawn in unexpected directions: not only headlong toward the unknowable Ipek and the desperate hope for love–or at least a wife–that she embodies, but also into the maelstrom of a military coup staged to restrain the local Islamist radicals, and even toward God, whose existence Ka has never before allowed himself to contemplate. In this surreal confluence of emotion and spectacle, Ka begins to tap his dormant creative powers, producing poem after poem in untimely, irresistible bursts of inspiration. But not until the snows have melted and the political violence has run its bloody course will Ka discover the fate of his bid to seize a last chance for happiness. Blending profound sympathy and mischievous wit, Snow illuminates the contradictions gripping the individual and collective heart in many parts of the Muslim world. But even more, by its narrative brilliance and comprehension of the needs and duties"
I Am Pilgrim,Terry Hayes,"United Kingdom, Australia",4.25,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Mystery Thriller', 'Suspense', 'Espionage', 'Audiobook', 'Novels', 'Action']",English,m,"A breakneck race against time...and an implacable enemy. An anonymous young woman murdered in a run-down hotel, all identifying characteristics dissolved by acid. A father publicly beheaded in the blistering heat of a Saudi Arabian public square. A notorious Syrian biotech expert found eyeless in a Damascus junkyard. Smoldering human remains on a remote mountainside in Afghanistan. A flawless plot to commit an appalling crime against humanity. One path links them all, and only one man can make the journey. Pilgrim.'"
The Book of Life,Deborah Harkness,United States,4.17,"['Fantasy', 'Fiction', 'Romance', 'Paranormal', 'Vampires', 'Witches', 'Magic', 'Urban Fantasy', 'Historical Fiction', 'Paranormal Romance']",English,w,"The #1 New York Times bestselling series finale and sequel to A Discovery of Witches and Shadow of NightBringing the magic and suspense of the All Souls Trilogy to a deeply satisfying conclusion, this highly anticipated finale went straight to #1 on the New York Times bestseller list. In The Book of Life, Diana and Matthew time-travel back from Elizabethan London to make a dramatic return to the present—facing new crises and old enemies. At Matthew’s ancestral home, Sept-Tours, they reunite with the beloved cast of characters from  A Discovery of Witches—with one significant exception. But the real threat to their future has yet to be revealed, and when it is, the search for Ashmole 782 and its missing pages takes on even more urgency."
Orphan Train,Christina Baker Kline,United States,4.17,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Adult Fiction', 'Adult', 'Young Adult', 'Audiobook', 'Adoption', 'Contemporary']",English,w,"This is an alternate cover edition of ISBN 9780061950728, found here.The author of Bird in Hand and The Way Life Should Be delivers her most ambitious and powerful novel to date: a captivating story of two very different women who build an unexpected friendship: a 91-year-old woman with a hidden past as an orphan-train rider and the teenage girl whose own troubled adolescence leads her to seek answers to questions no one has ever thought to ask.Nearly eighteen, Molly Ayer knows she has one last chance. Just months from ""aging out"" of the child welfare system, and close to being kicked out of her foster home, a community service position helping an elderly woman clean out her home is the only thing keeping her out of juvie and worse.Vivian Daly has lived a quiet life on the coast of Maine. But in her attic, hidden in trunks, are vestiges of a turbulent past. As she helps Vivian sort through her possessions and memories, Molly discovers that she and Vivian aren't as different as they seem to be. A young Irish immigrant orphaned in New York City, Vivian was put on a train to the Midwest with hundreds of other children whose destinies would be determined by luck and chance.The closer Molly grows to Vivian, the more she discovers parallels to her own life. A Penobscot Indian, she, too, is an outsider being raised by strangers, and she, too, has unanswered questions about the past. As her emotional barriers begin to crumble, Molly discovers that she has the power to help Vivian find answers to mysteries that have haunted her for her entire life - answers that will ultimately free them both.Rich in detail and epic in scope, Orphan Train is a powerful novel of upheaval and resilience, of second chances, of unexpected friendship, and of the secrets we carry that keep us from finding out who we are."
Homeland,R.A. Salvatore,Spain,4.24,"['Fantasy', 'Forgotten Realms', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Adventure', 'Science Fiction Fantasy', 'Dungeons and Dragons', 'Magic', 'Audiobook']",English,m,"Drow ranger Drizzt Do'Urden, first introduced in The Icewind Dale Trilogy, quickly became one of the fantasy genre's standout characters. But Homeland first reveals the startling tale of how this one lone drow walked out of the shadowy depths of the Underdark, leaving behind a society of evil and a family who want him dead. It is here that the story of this amazing dark elf truly began."
Never Never,"Colleen Hoover , Tarryn Fisher",United States; Australia,4.07,"['Romance', 'Young Adult', 'Contemporary', 'New Adult', 'Mystery', 'Paranormal', 'Fiction', 'Fantasy', 'Suspense', 'Contemporary Romance']",English,m; w,"Charlie Wynwood and Silas Nash have been best friends since they could walk. They've been in love since the age of fourteen. But as of this morning... they are complete strangers. Their first kiss, their first fight, the moment they fell in love... every memory has vanished.Charlie and Silas must work together to uncover the truth about what happened to them and why. But the more they learn about the couple they used to be, the more they question why they were ever together to begin with.#1 New York Times bestselling author of Hopeless joins forces with the New York Times bestselling author of Mud Vein. Together, they have created a gripping, romantic tale unlike any other."
Little Fires Everywhere,Celeste Ng,United States,4.1,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Literary Fiction', 'Book Club', 'Novels', 'Family', 'Realistic Fiction']",English,w,"From the bestselling author of Everything I Never Told You, a riveting novel that traces the intertwined fates of the picture-perfect Richardson family and the enigmatic mother and daughter who upend their lives.In Shaker Heights, a placid, progressive suburb of Cleveland, everything is planned--from the layout of the winding roads, to the colors of the houses, to the successful lives its residents will go on to lead. And no one embodies this spirit more than Elena Richardson, whose guiding principle is playing by the rules.Enter Mia Warren--an enigmatic artist and single mother--who arrives in this idyllic bubble with her teenaged daughter Pearl, and rents a house from the Richardsons. Soon Mia and Pearl become more than tenants: all four Richardson children are drawn to the mother-daughter pair. But Mia carries with her a mysterious past and a disregard for the status quo that threatens to upend this carefully ordered community.When old family friends of the Richardsons attempt to adopt a Chinese-American baby, a custody battle erupts that dramatically divides the town--and puts Mia and Elena on opposing sides. Suspicious of Mia and her motives, Elena is determined to uncover the secrets in Mia's past. But her obsession will come at unexpected and devastating costs.Little Fires Everywhere explores the weight of secrets, the nature of art and identity, and the ferocious pull of motherhood--and the danger of believing that following the rules can avert disaster.Named a Best Book of the Year by: People, The Washington Post, Bustle, Esquire, Southern Living, The Daily Beast, GQ, Entertainment Weekly, NPR, Amazon, Barnes & Noble, iBooks, Audible, Goodreads, Library Reads, Book of the Month, Paste, Kirkus Reviews, St. Louis Post-Dispatch, and many more...Perfect for book clubs! Visit celesteng.com for discussion guides and more. "
The Couple Next Door,Shari Lapena,Canada,3.78,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Crime', 'Adult', 'Contemporary', 'Adult Fiction']",English,w,"It all started at a dinner party. . .A domestic suspense debut about a young couple and their apparently friendly neighbors--a twisty, rollercoaster ride of lies, betrayal, and the secrets between husbands and wives. . .Anne and Marco Conti seem to have it all--a loving relationship, a wonderful home, and their beautiful baby, Cora. But one night when they are at a dinner party next door, a terrible crime is committed. Suspicion immediately focuses on the parents. But the truth is a much more complicated story.Inside the curtained house, an unsettling account of what actually happened unfolds. Detective Rasbach knows that the panicked couple is hiding something. Both Anne and Marco soon discover that the other is keeping secrets, secrets they've kept for years.What follows is the nerve-racking unraveling of a family--a chilling tale of deception, duplicity, and unfaithfulness that will keep you breathless until the final shocking twist."
Night School,C.J. Daugherty,United Kingdom,4.03,"['Young Adult', 'Mystery', 'Fantasy', 'Romance', 'Paranormal', 'Boarding School', 'Fiction', 'Contemporary', 'Thriller', 'Vampires']",English,m,"Allie Sheridan’s world is falling apart. Her brother’s run away from home. Her parents ignore her. And she’s just been arrested.Again.This time her parents have had enough. They cut her off from her friends and send her away to boarding school, far from her London friends.But at Cimmeria Academy, Allie is soon caught up in the strange activities of a secret group of elite students.When she’s attacked late one night the incident sets off a chain of increasingly violent events. As the school begins to seem like a very dangerous place, she finds out that nothing at Cimmeria is what it seems to be.And that she is not who she thought she was."
Heir to the Empire,Timothy Zahn,United States,4.14,"['Star Wars', 'Science Fiction', 'Fiction', 'Fantasy', 'Space Opera', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Space', 'Novels']",English,m,"Alternate Cover Edition can be found here.It is a time of renewal, five years after the destruction of the Death Star and the defeat of Darth Vader and the Empire.But with the war seemingly won, strains are beginning to show in the Rebel Alliance. New challenges to galactic peace have arisen. And Luke Skywalker hears a voice from his past. A voice with a warning. Beware the dark side….The Rebel Alliance has destroyed the Death Star, defeated Darth Vader and the Emperor, and driven the remnants of the old Imperial Starfleet back into barely a quarter of the territory that they once controlled. Leia and Han are married, are expecting Jedi twins, and have shouldered heavy burdens in the government of the new Republic. And Luke Skywalker is the first in a hoped-for new line of Jedi Knights.But thousands of light years away, where a few skirmishes are still taking place, the last of the Emperor's warlords has taken command of the remains of the Imperial fleet. He has made two vital discoveries that could destroy the fragile new Republic—built with such cost to the Rebel Alliance. The tale that emerges is a towering epic of action, invention, mystery, and spectacle on a galactic scale—in short, a story that is worthy of the name Star Wars."
Behind Closed Doors,B.A. Paris,United Kingdom,3.95,"['Thriller', 'Fiction', 'Mystery', 'Suspense', 'Mystery Thriller', 'Psychological Thriller', 'Audiobook', 'Crime', 'Adult', 'Adult Fiction']",English,w,"Everyone knows a couple like Jack and Grace. He has looks and wealth, she has charm and elegance. You might not want to like them, but you do.You’d like to get to know Grace better.But it’s difficult, because you realise Jack and Grace are never apart.Some might call this true love. Others might ask why Grace never answers the phone. Or how she can never meet for coffee, even though she doesn’t work. How she can cook such elaborate meals but remain so slim. And why there are bars on one of the bedroom windows.Sometimes, the perfect marriage is the perfect lie."
